|room|name|tel        |sensor|exno  |feno  |
|----|----|-----------|------|------|------|
|101 |권정경 |01091606072|61P9AB|ex1-01|fe1-01|
|102 |홍미아 |01051066247|206H9B|ex1-03|fe1-02|
|103 |윤재선 |01013705894|3L9H6B|ex1-03|fe1-03|
|103A|탁민정 |01021950020|29917B|ex1-03|fe1-04|
|104 |황영언 |01038824031|92955B|ex1-02|fe1-05|
|104A|윤슬연 |01055407788|7LP1A1|ex1-03|fe1-06|
|105 |곽양주 |01067790985|4933AB|ex1-02|fe1-07|
|201 |남수비 |01098151944|49P0A9|ex2-01|fe2-01|
|202 |여채향 |01047513164|ALP5AB|ex2-01|fe2-02|
|203 |엄여민 |01032668448|77P40B|ex2-01|fe2-03|
|204 |표재준 |01047046852|507HA4|ex2-02|fe2-04|
|205 |백윤송 |01046490142|95P86B|ex2-02|fe2-05|
|206 |한고안 |01069942219|A3985B|ex2-01|fe2-06|
|301 |장세영 |01064908612|29PH25|ex3-01|fe3-01|
|302 |민휘소 |01075012141|849H11|ex3-01|fe3-02|
|303 |서서영 |01066512417|A94988|ex3-02|fe3-03|
|304 |오희연 |01039646137|31P3A1|ex3-02|fe3-04|
|305 |정우진 |01082328099|A5P50B|ex3-02|fe3-05|
|306 |정상효 |01034393181|A77H35|ex3-02|fe3-06|
|307 |원병연 |01022296261|A37H35|ex3-03|fe3-07|
|308 |고송하 |01074575499|6LPH45|ex3-03|fe3-08|
|401 |차세진 |01082395472|3LP2AB|ex4-01|fe4-01|
|402 |곽동정 |01090742062|5LP90B|ex4-01|fe4-02|
|403 |오초희 |01088776233|97PH0B|ex4-02|fe4-03|
|404 |손유언 |01073703626|18PH0B|ex4-02|fe4-04|
|405 |김소송 |01084744718|79921B|ex4-02|fe4-05|
|406 |유시리 |01015283051|A9P69B|ex4-02|fe4-06|
|407 |석현준 |01084072342|196HA9|ex4-01|fe4-07|
|408 |서승비 |01015463847|A8PHAB|ex4-01|fe4-08|
|501 |권효채 |01019120648|8L4H49|ex5-01|fe5-01|
|501A|신다송 |01054223620|48257B|ex5-01|fe5-02|
|502 |우윤서 |01065136673|35PH17|ex5-02|fe5-03|
|503 |조률원 |01067809711|AL8HA2|ex5-02|fe5-04|
|504 |윤근수 |01085790212|ALPH8B|ex5-02|fe5-05|
|505 |양교비 |01085661184|A40HA9|ex5-02|fe5-06|
|506 |민시솔 |01042149839|A8P509|ex5-02|fe5-07|
|507 |우경준 |01018979468|72863B|ex5-01|fe5-08|
|508 |백명령 |01080848304|574H08|ex5-01|fe5-09|
|601 |하슬재 |01022907222|A340A5|ex6-01|fe6-01|
|601A|조동재 |01051886275|5197A1|ex6-01|fe6-02|
|602 |황동율 |01022171165|268H89|ex6-02|fe6-03|
|603 |변영유 |01096449749|A53591|ex6-02|fe6-04|
|604 |고진세 |01072792311|373H99|ex6-02|fe6-05|
|605 |곽병성 |01049671888|29975B|ex6-01|fe6-06|
